	word	stress_pos	nr_syll
2590	сада	2	2
2591	принадлежавшем	2	5
2592	земельном	2	3
2593	поверхностно	3	4
2594	сложная	3	3
2595	прикладным	1	3
2596	задачам	2	3
2597	лингвистическому	4	6
2598	анализу	3	4
2599	генератору	3	5
2600	описание	3	5
2601	способов	3	3
2602	описать	1	3
2603	указано	3	4
2604	какое	2	3
2605	делают	3	3
2606	способ	2	2
2607	задать	1	2
2608	способами	4	4
2609	виде	2	2
2610	лексем	1	2
2611	исторически	3	5
2612	практичных	2	3
2613	подходов	2	3
2614	генерация	3	5
2615	поиск	2	2
2616	стараемся	3	4
2617	найти	1	2
2618	подходящий	2	4
2619	имеющихся	4	5
2620	базе	2	2
2621	подход	1	2
2622	альтернативный	2	5
2623	шаблону	2	3
2624	шаблоны	2	3
2625	программистами	3	5
2626	тексте	2	2
2627	сущности	3	3
2628	диалоге	2	4
2629	плохо	2	2
2630	изученный	3	4
2631	начали	3	3
